A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
1.0,#,1.0,#,0.0,1.0,1.0,#,#,#,1.0,1.0,0.2222903719323048,0.7402597402597403,1,57.82414844843083,4984,19,0.5454545454545454,0.0008503639797632478,57,77
1.0,0.0,0.0,#,#,#,1.0,0.0,0.0,#,#,0.0,1.0,1.0,2,49.78819377699436,4982,28,0.5454545454545454,0.0014643738901987278,81,81
#,#,1.0,1.0,#,1.0,#,0.0,1.0,0.0,#,1.0,0.07619230956183345,0.5975609756097561,1,45.46894517390823,4918,60,0.5454545454545454,0.000668667921814779,49,82
1.0,0.0,#,0.0,1.0,#,1.0,#,1.0,#,1.0,1.0,0.2693290743429045,0.7692307692307693,1,48.0941781325294,4904,62,0.6363636363636364,0.0007072746908965522,30,39
1.0,1.0,1.0,0.0,#,#,#,0.0,#,#,0.0,0.0,1.0,1.0,2,62.02727595104598,4931,105,0.5454545454545454,0.0018243506440443226,80,80
0.0,1.0,0.0,0.0,#,1.0,#,#,#,#,1.0,1.0,1.0,1.0,1,50.08688270499196,4868,125,0.5454545454545454,0.0007365794750775576,74,74
#,0.0,1.0,#,1.0,#,#,#,#,#,#,1.0,0.23597599718269105,0.7491582491582491,2,52.58866640796849,4968,183,0.2727272727272727,0.0015467415900470717,445,594
#,1.0,#,1.0,1.0,1.0,#,1.0,#,#,1.0,1.0,0.23207791712921816,0.7466666666666667,1,57.37918924251847,4970,257,0.5454545454545454,0.0008438203938856386,56,75
#,0.0,#,#,#,0.0,#,0.0,0.0,#,#,0.0,0.22800499756118975,0.7440273037542662,1,37.165854805176124,4973,265,0.36363636363636365,0.0005465623801035023,218,293
#,#,1.0,#,1.0,#,#,#,#,1.0,#,1.0,0.09145946643955298,0.6197916666666666,1,54.7302530985891,4944,298,0.2727272727272727,0.0008048650449192914,357,576
#,#,1.0,#,1.0,#,#,#,#,#,#,1.0,0.09025510462049603,0.6181506849315068,1,56.48963889307615,4988,334,0.18181818181818182,0.0008307386348688815,722,1168
1.0,1.0,1.0,#,#,1.0,#,1.0,#,#,1.0,1.0,1.0,1.0,1,61.910537760956295,4965,342,0.5454545454545454,0.0009104585660546513,72,72
#,#,0.0,#,0.0,#,#,1.0,#,1.0,#,1.0,0.24697242108963394,0.7560137457044673,1,60.77976533835387,4986,348,0.36363636363636365,0.0008938293866669379,220,291
#,#,#,#,0.0,#,0.0,#,#,0.0,#,0.0,0.13513436628077036,0.6701208981001727,1,36.74992973156044,4969,366,0.2727272727272727,0.0005404457712061213,388,579
#,#,0.0,1.0,#,#,#,0.0,0.0,1.0,#,1.0,0.09735694788819488,0.6275862068965518,1,42.71531277767027,4959,421,0.45454545454545453,0.0006281729060454035,91,145
#,#,#,#,0.0,#,#,0.0,0.0,0.0,#,0.0,0.21664665691710727,0.7364620938628159,1,39.13273469000294,4973,424,0.36363636363636365,0.0005754873855113943,204,277
#,0.0,#,1.0,1.0,#,1.0,1.0,0.0,#,#,1.0,0.22149019143884427,0.7397260273972602,1,58.96313038613762,4885,457,0.5454545454545454,0.0008671138885715129,54,73
#,#,0.0,#,0.0,1.0,#,#,#,1.0,1.0,1.0,0.2731986815017553,0.7714285714285715,1,64.70731786252574,4986,465,0.45454545454545453,0.0009515881135103181,108,140
#,1.0,#,#,0.0,#,1.0,0.0,#,#,#,1.0,0.09946572548950833,0.6302816901408451,1,56.389025876024036,4984,473,0.36363636363636365,0.0008292590162684844,179,284
#,#,1.0,#,1.0,#,1.0,0.0,#,1.0,#,1.0,0.2373046875,0.75,1,62.61634673989422,4944,481,0.45454545454545453,0.0009208382179541957,102,136
1.0,1.0,1.0,#,#,1.0,#,#,#,#,1.0,1.0,1.0,1.0,5,60.732379097482806,4984,507,0.45454545454545453,0.004465662614632697,144,144
#,#,1.0,#,#,0.0,0.0,#,#,#,#,0.0,0.10056808661706643,0.6316725978647687,1,45.172675014572555,4991,514,0.2727272727272727,0.0006643109623343907,355,562
#,#,0.0,#,#,1.0,#,#,#,#,#,1.0,0.10375902401777108,0.6356311548791406,1,58.3254903815838,4986,528,0.18181818181818182,0.0008552568914310129,710,1117
#,#,#,0.0,#,#,#,0.0,0.0,#,#,0.0,0.15270210673244014,0.6867030965391621,1,49.62615073927244,4974,591,0.2727272727272727,0.0007298039344343123,377,549
0.0,#,#,1.0,#,#,1.0,1.0,#,1.0,#,1.0,0.2314600316517187,0.746268656716418,1,56.23189393467398,4986,604,0.45454545454545453,0.0008269482283610148,100,134
#,#,0.0,#,1.0,#,0.0,#,#,1.0,#,1.0,0.09166625722610741,0.6200716845878136,1,37.682424320108304,4987,611,0.36363636363636365,0.000554159069727628,173,279
#,#,#,#,#,0.0,#,#,0.0,#,#,0.0,0.09527956778844003,0.6248847926267281,1,43.496629018201034,4994,626,0.18181818181818182,0.0005973707249111503,678,1085
1.0,#,#,#,0.0,#,#,#,0.0,0.0,#,0.0,0.2186627592145869,0.7378277153558053,1,48.19299450350788,4950,652,0.36363636363636365,0.000708727887956012,197,267
#,#,#,#,0.0,0.0,#,#,0.0,#,0.0,0.0,0.2373046875,0.75,1,46.78678737002193,4958,653,0.36363636363636365,0.0006880481559324783,201,268
#,1.0,0.0,#,#,1.0,#,#,#,#,#,1.0,0.2445834327635345,0.7545454545454545,2,60.05342163512707,4986,666,0.2727272727272727,0.0017740413287467172,415,550
#,1.0,#,1.0,#,0.0,#,0.0,#,#,0.0,0.0,0.24326681946242032,0.753731343283582,1,52.06701344511738,4975,713,0.45454545454545453,0.0007656993480338587,101,134
0.0,#,1.0,0.0,1.0,#,#,#,#,#,#,1.0,0.24650145932538278,0.7557251908396947,1,52.94487259785318,4944,723,0.36363636363636365,0.0007786091758968276,198,262
#,1.0,#,1.0,0.0,1.0,1.0,#,#,1.0,#,1.0,0.5295244828003928,0.8805970149253731,1,67.88022121527833,4986,732,0.5454545454545454,0.000998248942849761,59,67
1.0,1.0,#,#,#,#,#,0.0,#,#,0.0,0.0,0.24171543451101707,0.7527675276752768,1,53.955816288624575,4983,741,0.36363636363636365,0.0007934761497004728,204,271
