Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
0,,,1,1,1,1,0.0,0,0,0,1,0,0.00021505355834960938,4.601478576660156e-05,2.1457672119140625e-06,3.0994415283203125e-06,0.0,8.106231689453125e-05
1,,,2,2,1,1,1.0,0,0,0,1,0,0.0003261566162109375,7.128715515136719e-05,3.814697265625e-06,5.245208740234375e-06,0.0,0.0001423358917236328
2,,,3,3,1,1,2.0,0,0,0,1,0,0.00042319297790527344,9.72747802734375e-05,5.7220458984375e-06,6.198883056640625e-06,0.0,0.00019121170043945312
3,,,4,4,1,1,3.0,0,0,0,1,0,0.0005171298980712891,0.0001232624053955078,7.3909759521484375e-06,8.344650268554688e-06,0.0,0.00023818016052246094
4,,,5,5,1,1,4.0,0,0,0,1,0,0.0006089210510253906,0.00015020370483398438,8.58306884765625e-06,9.5367431640625e-06,0.0,0.00028324127197265625
5,,,6,6,1,1,5.0,0,0,0,1,0,0.0007140636444091797,0.00018739700317382812,9.5367431640625e-06,1.0728836059570312e-05,0.0,0.00033020973205566406
6,,,6,6,1,1,4.0,0,0,0,0,0,0.0007970333099365234,0.00020456314086914062,1.049041748046875e-05,1.2874603271484375e-05,0.0,0.00037598609924316406
7,,,7,7,1,1,7.0,0,0,0,1,0,0.0008969306945800781,0.0002396106719970703,1.2636184692382812e-05,1.5020370483398438e-05,0.0,0.0004200935363769531
8,,,8,8,2,1,8.0,0,0,0,1,0,0.0010058879852294922,0.000278472900390625,1.3589859008789062e-05,1.5974044799804688e-05,0.0,0.0004661083221435547
9,,,9,9,1,1,9.0,0,0,0,1,0,0.0011088848114013672,0.00031638145446777344,1.4781951904296875e-05,1.71661376953125e-05,0.0,0.00051116943359375
10,,,9,9,2,1,2.0,0,0,0,0,0,0.0012011528015136719,0.0003383159637451172,1.5735626220703125e-05,1.811981201171875e-05,0.0,0.0005562305450439453
11,,,9,9,1,1,9.0,0,0,0,0,0,0.0012929439544677734,0.00036406517028808594,1.6927719116210938e-05,1.9311904907226562e-05,0.0,0.0006015300750732422
12,,,10,10,1,1,12.0,0,0,0,1,0,0.0013952255249023438,0.0004012584686279297,1.7881393432617188e-05,2.1219253540039062e-05,0.0,0.0006444454193115234
13,,,11,11,1,1,13.0,0,0,0,1,0,0.0015048980712890625,0.0004475116729736328,1.8835067749023438e-05,2.2411346435546875e-05,0.0,0.0006883144378662109
14,,,12,12,1,1,14.0,0,0,0,1,0,0.0016160011291503906,0.0004935264587402344,1.9550323486328125e-05,2.4557113647460938e-05,0.0,0.0007312297821044922
