Specified Values,Specified Attribute Names,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_3, R_4, R_5, R_7",1.0,1.0,1.0,1,66.32057577530982,4922,3,0.7272727272727273,0.0006129672012343632,19,19
"0.0, 0.0, 0.0, 1.0, 0.0","A_0, A_2, R_0, R_1, R_7",0.0,0.27021619173739636,0.7697368421052632,2,72.24826000263587,4966,6,0.45454545454545453,0.0013355075166387581,117,152
"0.0, 1.0, 1.0, 1.0, 0.0","A_1, R_0, R_1, R_5, R_6",1.0,0.5246832137166463,0.8789808917197452,1,79.580488848876,4969,27,0.45454545454545453,0.0007355218037886537,138,157
"0.0, 1.0, 1.0, 0.0, 1.0","A_1, R_0, R_1, R_5, R_7",1.0,0.0991414045103154,0.6298701298701299,1,71.71641575185548,4934,51,0.45454545454545453,0.0006628381936083921,97,154
"0.0, 1.0, 1.0, 1.0","R_1, R_2, R_4, R_6",1.0,0.10555830597848596,0.6378205128205128,1,79.13141972975667,4977,107,0.36363636363636365,0.0007313712873329472,199,312
"1.0, 1.0, 0.0, 0.0","A_0, A_2, R_5, R_7",0.0,1.0,1.0,14,79.70303857542524,4929,145,0.36363636363636365,0.010313162556272232,306,306
"1.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_5",1.0,1.0,1.0,14,56.96552727495517,4962,207,0.36363636363636365,0.007371045739171028,300,300
"1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, R_0, R_4, R_5, R_6, R_7",0.0,0.28462802079628785,0.7777777777777778,2,68.41524896244346,4902,233,0.6363636363636364,0.001264654390828537,28,36
"1.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, R_0, R_5, R_6, R_7",0.0,0.23178621541003852,0.7464788732394366,1,66.40044034076652,4902,266,0.5454545454545454,0.000613705348613114,53,71
"1.0, 1.0, 1.0","A_1, R_2, R_6",1.0,0.2373046875,0.75,2,73.87884928112247,4999,273,0.2727272727272727,0.001365648924028915,447,596
"0.0, 1.0, 1.0, 1.0","A_2, R_0, R_2, R_6",1.0,0.48515819326949283,0.8653198653198653,2,75.46102347014644,4943,274,0.36363636363636365,0.001394895379542117,257,297
"0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_2, R_0, R_2, R_6",1.0,1.0,1.0,4,86.20605528644526,4943,303,0.45454545454545453,0.0031870341184860006,144,144
"1.0, 0.0, 0.0, 0.0","R_1, R_2, R_5, R_7",0.0,0.09569560556165733,0.6254295532646048,1,73.6774386111679,4899,330,0.36363636363636365,0.0006809629260851093,182,291
"1.0, 1.0","R_0, R_5",1.0,0.09316636338926425,0.6220880069025022,1,67.79658470734697,4987,333,0.18181818181818182,0.0006266091977564222,721,1159
