A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,1.0,#,0.0,1.0,0.0,0.0,#,1.0,1.0,0.0,1.0,1.0,1,1.0,0,0,0.6363636363636364,,1,1
#,1.0,#,#,#,#,#,#,1.0,0.0,1.0,0.0,0.07775999999999998,0.6,1,2.6,63,1,0.36363636363636365,,3,5
#,1.0,1.0,#,#,1.0,1.0,#,#,#,#,1.0,1.0,1.0,1,1.72,71,2,0.36363636363636365,,6,6
0.0,0.0,1.0,0.0,#,#,#,#,#,#,#,0.0,0.16806999999999994,0.7,1,3.9466240000000004,56,3,0.36363636363636365,,7,10
1.0,#,0.0,#,0.0,#,1.0,0.0,#,0.0,1.0,0.0,1.0,1.0,2,1.0,33,4,0.6363636363636364,,2,2
#,#,0.0,1.0,#,#,1.0,#,1.0,#,#,1.0,0.004115226337448558,0.3333333333333333,1,1.6666666666666667,5,5,0.36363636363636365,,1,3
#,#,#,#,1.0,#,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,6,6,0.5454545454545454,,1,1
#,#,1.0,1.0,1.0,0.0,#,#,#,0.0,#,1.0,0.3276800000000001,0.8,2,2.4,75,7,0.45454545454545453,,4,5
1.0,#,0.0,#,1.0,#,0.0,1.0,0.0,#,0.0,1.0,0.2373046875,0.75,2,2.25,37,8,0.6363636363636364,,3,4
#,1.0,#,1.0,#,1.0,#,#,0.0,1.0,1.0,1.0,1.0,1.0,1,1.25,32,9,0.5454545454545454,,4,4
#,1.0,0.0,0.0,0.0,#,#,#,0.0,#,0.0,1.0,0.0009765625,0.25,1,2.25,10,10,0.5454545454545454,,1,4
#,#,#,#,0.0,1.0,#,0.0,0.0,#,0.0,0.0,1.0,1.0,2,3.0,73,13,0.45454545454545453,,3,3
1.0,0.0,#,1.0,1.0,#,#,#,1.0,#,#,1.0,1.0,1.0,1,1.5,15,15,0.45454545454545453,,4,4
1.0,#,1.0,#,0.0,#,0.0,0.0,#,#,#,0.0,0.004115226337448558,0.3333333333333333,1,3.84,73,16,0.45454545454545453,,2,6
1.0,0.0,0.0,0.0,#,#,#,#,#,#,#,1.0,0.3276800000000001,0.8,1,1.4,78,17,0.36363636363636365,,4,5
#,0.0,1.0,1.0,#,#,#,#,#,1.0,#,1.0,0.05292214940134466,0.5555555555555556,2,5.00032,77,19,0.36363636363636365,,5,9
#,0.0,#,#,0.0,0.0,#,#,0.0,#,#,1.0,0.0009765625,0.25,1,4.473599999999999,64,20,0.36363636363636365,,2,8
0.0,1.0,#,0.0,#,0.0,1.0,1.0,#,#,0.0,0.0,1.0,1.0,2,2.6666666666666665,69,21,0.6363636363636364,,3,3
0.0,1.0,1.0,0.0,#,#,#,#,#,1.0,#,1.0,1.0,1.0,1,1.0,81,23,0.45454545454545453,,3,3
#,1.0,#,0.0,0.0,0.0,#,0.0,#,0.0,#,1.0,1.0,1.0,1,1.0,24,24,0.5454545454545454,,1,1
0.0,#,#,#,1.0,0.0,0.0,#,#,#,0.0,0.0,0.13168724279835387,0.6666666666666666,1,2.0,25,25,0.45454545454545453,,2,3
1.0,0.0,#,#,0.0,#,0.0,#,1.0,#,0.0,0.0,0.010240000000000003,0.4,1,2.8,26,26,0.5454545454545454,,2,5
#,1.0,1.0,#,#,#,0.0,#,1.0,#,#,1.0,0.03125,0.5,1,2.5,27,27,0.36363636363636365,,1,2
#,#,#,0.0,1.0,0.0,1.0,#,#,#,1.0,1.0,0.07775999999999998,0.6,1,3.4,28,28,0.45454545454545453,,3,5
0.0,#,1.0,1.0,0.0,1.0,0.0,#,#,0.0,0.0,0.0,1.0,1.0,1,2.0,29,29,0.7272727272727273,,1,1
0.0,0.0,#,#,#,#,#,#,#,#,#,0.0,0.040386107340619246,0.5263157894736842,1,5.15203436396544,85,30,0.18181818181818182,,10,19
#,0.0,1.0,0.0,#,#,#,#,#,#,#,0.0,0.1043582467665522,0.6363636363636364,2,3.842176,99,30,0.2727272727272727,,7,11
#,1.0,1.0,#,#,1.0,#,#,0.0,#,1.0,1.0,1.0,1.0,1,3.0,71,32,0.45454545454545453,,1,1
#,1.0,1.0,#,#,1.0,1.0,#,#,1.0,#,1.0,1.0,1.0,1,2.0,32,32,0.45454545454545453,,1,1
1.0,#,#,1.0,0.0,#,1.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,1,1.0,33,33,0.7272727272727273,,0,0
1.0,#,0.0,#,1.0,#,0.0,1.0,#,#,0.0,1.0,0.13168724279835387,0.6666666666666666,1,3.0,37,37,0.5454545454545454,,2,3
0.0,#,#,1.0,0.0,#,1.0,#,0.0,#,#,1.0,0.13168724279835387,0.6666666666666666,2,5.333333333333333,64,41,0.45454545454545453,,2,3
#,0.0,1.0,1.0,#,#,#,#,1.0,1.0,#,1.0,0.03125,0.5,1,4.5,46,46,0.45454545454545453,,1,2
#,#,#,#,#,0.0,#,#,#,0.0,#,0.0,0.26150027784488145,0.7647058823529411,1,4.2458353868800005,69,47,0.18181818181818182,,13,17
1.0,#,1.0,0.0,#,0.0,0.0,#,#,1.0,#,1.0,1.0,1.0,1,3.0,50,50,0.5454545454545454,,1,1
#,#,#,#,0.0,#,#,0.0,0.0,#,0.0,0.0,0.13168724279835387,0.6666666666666666,1,4.666666666666667,73,53,0.36363636363636365,,2,3
1.0,#,1.0,#,#,#,#,#,0.0,#,#,1.0,0.00012860082304526745,0.16666666666666666,1,3.6,54,54,0.2727272727272727,,1,6
#,#,0.0,#,0.0,0.0,0.0,#,1.0,1.0,#,1.0,1.0,1.0,1,1.0,55,55,0.5454545454545454,,1,1
#,0.0,0.0,#,#,#,1.0,#,1.0,1.0,#,0.0,1.0,1.0,1,2.0,57,57,0.45454545454545453,,1,1
#,#,0.0,#,0.0,0.0,#,#,1.0,#,#,0.0,1.0,1.0,1,3.5,58,58,0.36363636363636365,,2,2
0.0,#,1.0,#,#,#,#,0.0,0.0,#,#,1.0,0.3276800000000001,0.8,1,4.8,71,60,0.36363636363636365,,4,5
#,1.0,#,#,#,0.0,#,#,1.0,0.0,1.0,0.0,1.0,1.0,1,5.0,63,63,0.45454545454545453,,1,1
#,#,#,1.0,#,#,#,#,1.0,0.0,#,0.0,0.03125,0.5,1,4.25,63,63,0.2727272727272727,,2,4
0.0,#,#,1.0,0.0,#,1.0,#,#,#,#,1.0,0.0,0.0,1,7.0,64,64,0.36363636363636365,,0,2
#,1.0,0.0,1.0,1.0,0.0,#,1.0,1.0,1.0,#,0.0,1.0,1.0,1,1.0,67,67,0.7272727272727273,,1,1
0.0,1.0,#,0.0,#,0.0,1.0,1.0,#,0.0,0.0,0.0,0.1,1.0,1,2.0,69,69,0.7272727272727273,,0,0
#,1.0,1.0,#,#,1.0,#,0.0,#,#,#,1.0,0.1,1.0,1,3.0,71,71,0.36363636363636365,,0,0
0.0,#,1.0,#,#,#,#,#,0.0,#,1.0,1.0,0.0,0.0,1,10.0,71,71,0.36363636363636365,,0,1
1.0,0.0,#,1.0,#,1.0,1.0,#,#,#,1.0,1.0,1.0,1.0,1,1.0,72,72,0.5454545454545454,,1,1
#,1.0,0.0,#,#,1.0,0.0,#,#,1.0,1.0,1.0,1.0,1.0,1,1.0,74,74,0.5454545454545454,,1,1
0.0,#,1.0,1.0,1.0,0.0,#,#,#,0.0,#,1.0,0.03276800000000001,0.8,1,2.4,75,75,0.5454545454545454,,0,0
1.0,1.0,#,#,1.0,#,#,0.0,#,#,0.0,0.0,0.004115226337448558,0.3333333333333333,1,1.6666666666666667,76,76,0.45454545454545453,,1,3
#,#,#,#,0.0,0.0,#,1.0,#,1.0,#,0.0,1.0,1.0,1,4.5,80,80,0.36363636363636365,,2,2
1.0,1.0,#,#,#,0.0,#,#,#,1.0,0.0,1.0,1.0,1.0,1,2.0,82,82,0.45454545454545453,,1,1
0.0,0.0,#,#,#,#,#,#,1.0,#,#,1.0,0.0009765625,0.25,1,4.75,85,85,0.2727272727272727,,1,4
0.0,0.0,#,#,#,#,#,#,#,#,#,1.0,0.001903968584518355,0.2857142857142857,1,5.544,85,85,0.18181818181818182,,2,7
1.0,1.0,#,#,#,1.0,0.0,#,0.0,1.0,#,1.0,1.0,1.0,1,2.0,86,86,0.5454545454545454,,1,1
1.0,1.0,0.0,0.0,#,0.0,#,0.0,#,1.0,1.0,1.0,1.0,1.0,1,1.0,91,91,0.7272727272727273,,1,1
#,#,1.0,0.0,0.0,1.0,#,#,1.0,#,#,1.0,1.0,1.0,1,4.0,93,93,0.45454545454545453,,1,1
1.0,#,0.0,0.0,1.0,1.0,1.0,#,0.0,0.0,#,0.0,1.0,1.0,1,1.0,98,98,0.7272727272727273,,1,1
#,0.0,1.0,0.0,#,#,#,1.0,#,#,#,0.0,0.010435824676655221,0.6363636363636364,1,3.842176,99,99,0.36363636363636365,,0,0
