Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
0,1.0,0,1,1,1,1,0.0,0,0,0,1,0,0.000164031982421875,1.9073486328125e-06,2.1457672119140625e-06,0.0,0.0,9.179115295410156e-05
1,1.0,0,2,2,1,1,1.0,0,0,0,1,0,0.00025010108947753906,7.867813110351562e-06,3.0994415283203125e-06,0.0,0.0,0.0001385211944580078
2,1.0,0,3,3,1,1,2.0,0,0,0,1,0,0.00032591819763183594,1.0967254638671875e-05,4.0531158447265625e-06,0.0,0.0,0.000179290771484375
3,1.0,0,4,4,1,1,3.0,0,0,0,1,0,0.0003991127014160156,1.5735626220703125e-05,5.245208740234375e-06,0.0,0.0,0.00021719932556152344
4,1.0,0,5,5,1,1,4.0,0,0,0,1,0,0.0004711151123046875,2.2649765014648438e-05,5.245208740234375e-06,0.0,0.0,0.0002548694610595703
5,1.0,0,6,6,1,1,5.0,0,0,0,1,0,0.0005471706390380859,3.0517578125e-05,6.198883056640625e-06,0.0,0.0,0.00029277801513671875
6,1.0,0,7,7,1,1,6.0,0,0,0,1,0,0.0006220340728759766,3.838539123535156e-05,6.198883056640625e-06,0.0,0.0,0.00033164024353027344
7,1.0,0,8,8,1,1,7.0,0,0,0,1,0,0.000698089599609375,4.839897155761719e-05,6.198883056640625e-06,0.0,0.0,0.0003695487976074219
8,1.0,0,9,9,1,1,8.0,0,0,0,1,0,0.0007760524749755859,6.151199340820312e-05,7.152557373046875e-06,0.0,0.0,0.0004062652587890625
9,1.0,0,10,10,1,1,9.0,0,0,0,1,0,0.0008540153503417969,7.414817810058594e-05,8.344650268554688e-06,0.0,0.0,0.00044345855712890625
10,1.0,0,11,11,1,1,10.0,0,0,0,1,0,0.0009360313415527344,8.821487426757812e-05,9.298324584960938e-06,0.0,0.0,0.00048041343688964844
11,0.9166666666666666,0,12,12,2,1,11.0,0,0,0,1,0,0.0010209083557128906,0.00010395050048828125,1.0251998901367188e-05,0.0,0.0,0.000518798828125
12,0.9230769230769231,0,12,12,2,1,11.0,0,0,0,0,0,0.001085042953491211,0.0001227855682373047,1.0251998901367188e-05,0.0,0.0,0.0005438327789306641
13,0.9285714285714286,0,13,13,1,1,13.0,0,0,0,1,0,0.0011661052703857422,0.00013780593872070312,1.1205673217773438e-05,0.0,0.0,0.0005810260772705078
14,0.9333333333333333,0,14,14,1,1,14.0,0,0,0,1,0,0.001249074935913086,0.0001537799835205078,1.2159347534179688e-05,0.0,0.0,0.00061798095703125
15,0.9375,0,15,15,1,1,15.0,0,0,0,1,0,0.0013339519500732422,0.0001728534698486328,1.3113021850585938e-05,0.0,0.0,0.0006539821624755859
