A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,0.0,1.0,0.0,#,1.0,0.0,#,0.0,1.0,0.0,0.1148279438394322,0.6486486486486487,1,74.45645788088945,4683,3,0.6363636363636364,0.0007848172098536382,24,37
0.0,#,#,1.0,0.0,0.0,#,1.0,#,#,0.0,0.0,0.12324861859319845,0.6578947368421053,1,60.3622702580735,4709,9,0.5454545454545454,0.0006362557375500895,50,76
1.0,#,0.0,0.0,0.0,1.0,#,1.0,#,0.0,0.0,0.0,0.05032843750000002,0.55,1,54.82482717805773,4874,40,0.7272727272727273,0.00681433666638233,11,20
1.0,1.0,#,0.0,0.0,1.0,0.0,#,1.0,1.0,0.0,0.0,0.07775999999999998,0.6,1,48.836032,4143,47,0.8181818181818182,0.0005147620430168272,6,10
1.0,#,#,#,0.0,0.0,1.0,1.0,#,1.0,#,1.0,0.2373046875,0.75,1,80.29942902648472,4951,62,0.5454545454545454,0.0008464057468624392,57,76
#,#,1.0,#,#,#,#,0.0,0.0,#,0.0,0.0,0.25069328251198403,0.7582781456953642,1,72.70283256745657,4973,124,0.36363636363636365,0.0007513952025678043,229,302
#,1.0,#,#,#,#,0.0,0.0,0.0,#,#,0.0,0.08753507615417744,0.6143790849673203,1,67.6987287666931,4915,140,0.36363636363636365,0.0006785356464032638,188,306
#,#,#,#,0.0,0.0,#,1.0,#,#,0.0,0.0,0.10118872446753942,0.6324503311258278,1,73.91407868585267,4966,148,0.36363636363636365,0.0007791001970028203,191,302
1.0,1.0,#,#,1.0,1.0,1.0,#,1.0,0.0,1.0,0.0,0.040386107340619246,0.5263157894736842,1,71.80146824131378,4710,162,0.7272727272727273,0.0007568319736441018,10,19
#,1.0,0.0,#,#,1.0,#,0.0,#,#,#,1.0,0.25221641267724476,0.7591973244147158,1,64.54636074962852,4961,235,0.36363636363636365,0.0006803586443874047,227,299
#,1.0,0.0,#,#,0.0,#,#,#,0.0,#,0.0,1.0,1.0,10,80.04049050432516,4994,270,0.36363636363636365,0.008436763743638175,304,304
