Specified Values,Specified Attribute Names,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_2, R_4, R_5, R_6, R_7",0.0,0.004115226337448558,0.3333333333333333,1,52.53945736527872,4096,0,0.7272727272727273,0.0006687811888770957,6,18
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_2, R_0, R_1, R_4, R_5, R_6",0.0,0.1015580995205542,0.6329113924050633,1,72.51198644339578,4993,25,0.5454545454545454,0.0009230139581438142,50,79
"1.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, R_1, R_2, R_3, R_4",1.0,0.20503828650689207,0.7283950617283951,2,68.41510764865488,4970,32,0.5454545454545454,0.0017417285721972233,59,81
"0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, R_1, R_4, R_5, R_6, R_7",0.0,0.3066820026178275,0.7894736842105263,1,69.06624312091874,4712,52,0.6363636363636364,0.0008791526692890413,30,38
"1.0, 1.0, 0.0, 0.0","A_1, R_1, R_3, R_6",0.0,0.2373046875,0.75,1,64.9980445649163,4994,71,0.36363636363636365,0.000827368071516065,234,312
"1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, R_0, R_3, R_4, R_5, R_6",1.0,0.3066820026178275,0.7894736842105263,1,73.5887602874934,4869,73,0.6363636363636364,0.0009367203443099428,30,38
"1.0, 1.0, 0.0, 1.0","R_1, R_2, R_4, R_5",1.0,0.09958658297887482,0.6304347826086957,1,71.97027779566463,4988,106,0.36363636363636365,0.0009161184824076283,203,322
"0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_2",0.0,1.0,1.0,17,68.75356764750092,4993,173,0.36363636363636365,0.014877933943048642,311,311
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_2, R_4, R_5, R_6, R_7",0.0,0.0,0.0,1,86.75,195,195,0.9090909090909091,0.0011042513768600335,0,4
"0.0, 1.0, 0.0, 0.0","A_1, R_2, R_4, R_5",0.0,0.23328266737586376,0.7474402730375427,2,67.94248610361339,4974,200,0.36363636363636365,0.0017296964571114415,219,293
"1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, R_1, R_3, R_6",0.0,0.24262520879670776,0.7533333333333333,1,71.21355197594382,4994,202,0.45454545454545453,0.0009064860267496197,113,150
"1.0, 1.0, 1.0, 1.0","R_0, R_1, R_4, R_6",1.0,0.2399710055247544,0.7516778523489933,1,75.75697123508544,4874,218,0.36363636363636365,0.000964319767067309,224,298
"1.0, 0.0, 1.0, 1.0, 1.0","A_1, R_0, R_2, R_3, R_4",1.0,0.22449433014465114,0.7417218543046358,1,65.37121303059351,4981,219,0.45454545454545453,0.0008321181786287428,112,151
"1.0, 0.0","A_1, R_6",0.0,0.0990733981304158,0.629783693843594,1,65.84095603524217,4994,232,0.18181818181818182,0.0008380975948783527,757,1202
"1.0, 1.0, 0.0, 1.0, 1.0","A_0, R_0, R_2, R_3, R_4",1.0,0.10049355861780968,0.631578947368421,1,67.13569959422864,4970,234,0.45454545454545453,0.0008545785442465541,96,152
"1.0, 0.0, 0.0","A_1, A_2, R_6",0.0,0.24059140593162093,0.7520661157024794,2,69.04162146125438,4994,255,0.2727272727272727,0.0017576785143340492,455,605
"1.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_1, A_2, R_0, R_2, R_3, R_4",1.0,0.2373046875,0.75,1,69.11451316821305,4929,265,0.5454545454545454,0.000879767104634123,57,76
"1.0, 0.0, 1.0, 1.0","A_0, R_2, R_4, R_5",1.0,0.23328266737586376,0.7474402730375427,1,71.07009633712093,4999,326,0.36363636363636365,0.0009046599623497522,219,293
"1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_1, R_2, R_3, R_4",1.0,0.19075113096875485,0.717948717948718,1,70.33811777709175,4970,326,0.6363636363636364,0.0008953425175918935,28,39
"1.0, 0.0, 0.0, 0.0","A_2, R_0, R_5, R_6",0.0,0.09309533721916806,0.6219931271477663,1,69.87789148584007,4962,339,0.36363636363636365,0.0008894842407529095,181,291
"1.0, 0.0, 1.0, 1.0","R_0, R_2, R_3, R_4",1.0,0.08729029141895421,0.6140350877192983,1,64.88302846276062,4970,370,0.36363636363636365,0.0008259040174622728,175,285
"0.0, 1.0, 1.0, 0.0","A_1, A_2, R_4, R_5",0.0,0.22397642588184608,0.7413793103448276,2,61.49329760358607,4946,374,0.36363636363636365,0.0015655114362287889,215,290
"1.0, 1.0, 1.0, 0.0, 0.0","A_2, R_3, R_4, R_5, R_7",0.0,0.10227531488595103,0.6338028169014085,1,62.91659609537762,4962,374,0.45454545454545453,0.0008008730589702288,90,142
