A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,0.0,#,0.0,0.0,0.0,#,1.0,#,#,1.0,0.001903968584518355,0.2857142857142857,2,2.072,91,0,0.45454545454545453,,2,7
0.0,#,0.0,1.0,#,#,0.0,#,1.0,#,1.0,0.0,0.0009765625,0.25,1,2.25,1,1,0.5454545454545454,,1,4
#,0.0,#,0.0,0.0,1.0,#,1.0,#,#,1.0,1.0,1.0,1.0,2,1.0,54,2,0.5454545454545454,,2,2
#,#,0.0,1.0,0.0,#,1.0,0.0,#,0.0,1.0,0.0,1.0,1.0,1,1.0,3,3,0.6363636363636364,,1,1
#,0.0,0.0,#,0.0,#,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,4,4,0.7272727272727273,,1,1
#,0.0,#,0.0,#,#,1.0,#,1.0,#,#,1.0,0.01734152991583261,0.4444444444444444,1,5.13024,81,5,0.36363636363636365,,4,9
#,#,1.0,#,#,1.0,1.0,0.0,#,#,#,1.0,0.05292214940134466,0.5555555555555556,1,3.3625599999999998,87,6,0.36363636363636365,,5,9
#,#,0.0,1.0,1.0,#,#,0.0,1.0,1.0,#,1.0,1.0,1.0,2,1.6666666666666667,34,7,0.5454545454545454,,3,3
#,#,0.0,1.0,#,#,#,1.0,0.0,#,1.0,1.0,1.0,1.0,2,1.6666666666666667,97,8,0.45454545454545453,,3,3
0.0,#,#,1.0,0.0,0.0,#,1.0,#,#,0.0,0.0,1.0,1.0,1,2.0,78,9,0.5454545454545454,,2,2
1.0,1.0,#,1.0,1.0,#,0.0,1.0,1.0,#,#,0.0,1.0,1.0,1,1.0,10,10,0.6363636363636364,,1,1
#,#,1.0,1.0,1.0,0.0,0.0,1.0,#,#,#,0.0,1.0,1.0,1,1.0,11,11,0.5454545454545454,,2,2
0.0,1.0,1.0,#,0.0,1.0,0.0,1.0,#,0.0,#,0.0,1.0,1.0,1,1.0,12,12,0.7272727272727273,,1,1
1.0,#,1.0,1.0,1.0,0.0,1.0,#,#,0.0,0.0,0.0,1.0,1.0,1,1.0,13,13,0.7272727272727273,,1,1
1.0,#,#,#,1.0,#,#,#,#,0.0,1.0,1.0,0.03125,0.5,1,3.229376,60,14,0.36363636363636365,,5,10
#,#,0.0,1.0,1.0,#,#,#,1.0,0.0,#,1.0,0.03125,0.5,1,2.0,15,15,0.45454545454545453,,1,2
0.0,#,#,#,#,#,#,1.0,1.0,1.0,#,0.0,1.0,1.0,1,1.6666666666666667,16,16,0.36363636363636365,,3,3
0.0,#,0.0,#,#,#,1.0,#,#,0.0,0.0,0.0,1.0,1.0,1,2.5,78,17,0.45454545454545453,,2,2
#,#,0.0,0.0,1.0,#,1.0,#,#,1.0,#,0.0,0.03125,0.5,1,2.0,18,18,0.45454545454545453,,1,2
0.0,#,0.0,0.0,0.0,0.0,#,#,0.0,#,#,0.0,1.0,1.0,2,1.6666666666666667,44,19,0.5454545454545454,,3,3
#,#,#,#,#,1.0,1.0,#,1.0,#,1.0,1.0,0.3276800000000001,0.8,1,4.2,81,22,0.36363636363636365,,4,5
1.0,0.0,#,0.0,#,0.0,0.0,0.0,#,#,#,0.0,1.0,1.0,1,2.5,94,23,0.5454545454545454,,2,2
#,0.0,#,0.0,1.0,#,#,1.0,#,0.0,1.0,0.0,0.2373046875,0.75,2,3.25,82,25,0.5454545454545454,,3,4
#,#,#,1.0,#,#,1.0,0.0,#,0.0,1.0,0.0,0.03125,0.5,1,2.0,26,26,0.45454545454545453,,1,2
#,#,#,1.0,0.0,#,#,0.0,0.0,#,0.0,0.0,0.2373046875,0.75,2,1.5,89,27,0.45454545454545453,,3,4
1.0,0.0,#,#,1.0,#,0.0,#,#,#,0.0,0.0,1.0,1.0,1,2.5,94,28,0.45454545454545453,,2,2
1.0,1.0,0.0,#,1.0,#,0.0,0.0,1.0,1.0,#,1.0,1.0,1.0,1,1.0,30,30,0.7272727272727273,,1,1
0.0,1.0,#,#,0.0,1.0,1.0,1.0,0.0,#,0.0,1.0,1.0,1.0,1,1.0,31,31,0.7272727272727273,,1,1
0.0,#,1.0,0.0,1.0,0.0,#,1.0,0.0,0.0,#,0.0,1.0,1.0,1,1.0,32,32,0.7272727272727273,,1,1
1.0,#,0.0,#,#,1.0,1.0,#,1.0,0.0,0.0,0.0,0.03125,0.5,1,5.0,33,33,0.6363636363636364,,1,2
#,#,0.0,#,1.0,#,#,0.0,1.0,1.0,#,1.0,1.0,1.0,1,3.0,34,34,0.45454545454545453,,1,1
